Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
CWG5000-2283C-S	1.00	12.00	6/19/15	Color of the Week, Neon Green, S	2283C	Neon Green	2.36	T-Shirt	I-51636	P-7714	12.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDC47MT2-Khaki-Adult	1.00	16.99	6/19/15	Hat - Classic Fit - Khaki - Adult	Khaki		5.18	Hat	I-51637	P-7169	16.99	Adult	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00T139	1.00	4.99	6/19/15	Pint Glass - 16oz			0.82	Product	I-51637	P-2060	4.99	16 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-IR-M	-1.00	-19.00	6/19/15	Comfort Soft S/S-Pocket, IR, M	IR		4.78	T-Shirt	I-51638	P-7310	19.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SD006030-IR-S	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, IR, S	IR		4.78	T-Shirt	I-51638	P-7309	19.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SD00357-SA-L	1.00	39.00	6/19/15	Ladies S/S Polo - SA - L	SA	Salmon	16.97	Polos	I-51639	P-7414	39.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-NY-XL	1.00	19.00	6/19/15	Comfort Soft S/S, NY, XL	Navy		4.23	T-Shirt	I-51639	P-3165	19.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWG5000-2283C-M	1.00	12.00	6/19/15	Color of the Week, Neon Green, M	2283C	Neon Green	2.44	T-Shirt	I-51639	P-7715	12.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-RE-2X	1.00	12.00	6/19/15	Patriot Dog S/S, RE, 2X	Red		5.30	T-Shirt	I-51640	P-3409	12.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00SL04-6A-2X	1.00	17.00	6/19/15	Women's Classic Fit T, 6A, 2X	Wow Pink		4.68	T-Shirt	I-51641	P-3862	17.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDETBTSB-NY-XL	1.00	17.00	6/19/15	Bamboo S/S, NY, XL	NY		6.85	T-Shirt	I-51641	P-3122	17.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDNTRTAD-YE-2X	1.00	15.00	6/19/15	Tank Top - Simple Dog, YE, 2X	YE		5.85	Tank Top	I-51642	P-7300	15.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0882L-HP-M	1.00	15.00	6/19/15	Tank Top - Women's, HP, M	HP		3.18	T-Shirt	I-51642	P-7216	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00T242BL-Red-OSFA	1.00	3.99	6/19/15	Playing Cards, Red	Red	Red	1.97	Product	I-51642	P-7518	3.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWG5000-2283C-2X	1.00	12.00	6/19/15	Color of the Week, Neon Green, 2X	2283C	Neon Green	4.55	T-Shirt	I-51643	P-7718	12.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD1000TD-TD-S	1.00	20.00	6/19/15	Tie-Dye S/S, TD, S	Tie Dye		4.25	T-Shirt	I-51643	P-3298	20.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
